[Epoch 0]	Learning rate: 1.00e-4
[80000/80000]	[MSE: 0.0000551183]	31.8+6.4s

Evaluation:
[DenoiseColorSet68 x1]	PSNR: 29.488 (Best: 29.488 @self.epoch 2)
Forward: 194.72s

Saving...
Total: 195.01s

[Epoch 2]	Learning rate: 1.00e-4
[1600/80000]	[MSE: 0.0000540765]	32.1+6.7s
[3200/80000]	[MSE: 0.0000529742]	32.3+6.4s
[4800/80000]	[MSE: 0.0000525595]	32.2+6.6s
[6400/80000]	[MSE: 0.0000526255]	32.4+6.5s
[8000/80000]	[MSE: 0.0000523652]	32.2+6.5s
[9600/80000]	[MSE: 0.0000526783]	31.5+6.4s
[11200/80000]	[MSE: 0.0000526797]	31.2+6.5s
[12800/80000]	[MSE: 0.0000524464]	31.9+6.5s
[14400/80000]	[MSE: 0.0000524288]	31.9+6.5s
[16000/80000]	[MSE: 0.0000525278]	31.2+6.4s
[17600/80000]	[MSE: 0.0000525413]	31.0+6.5s
[19200/80000]	[MSE: 0.0000525832]	31.3+6.4s
[20800/80000]	[MSE: 0.0000523815]	31.8+6.3s
[22400/80000]	[MSE: 0.0000522824]	31.9+6.4s
[24000/80000]	[MSE: 0.0000523319]	31.7+6.4s
[25600/80000]	[MSE: 0.0000523880]	31.8+6.3s
[27200/80000]	[MSE: 0.0000523731]	31.6+6.4s
[28800/80000]	[MSE: 0.0000523425]	31.8+6.4s
[30400/80000]	[MSE: 0.0000523075]	31.7+6.3s
[32000/80000]	[MSE: 0.0000521830]	31.8+6.3s
[33600/80000]	[MSE: 0.0000521122]	31.8+6.4s
[35200/80000]	[MSE: 0.0000520540]	31.5+6.5s
[36800/80000]	[MSE: 0.0000521508]	31.7+6.5s
[38400/80000]	[MSE: 0.0000521177]	31.5+6.5s
[40000/80000]	[MSE: 0.0000521392]	31.9+6.4s
[41600/80000]	[MSE: 0.0000521078]	32.1+6.4s
[43200/80000]	[MSE: 0.0000521641]	30.9+6.5s
[44800/80000]	[MSE: 0.0000520822]	30.7+6.5s
[46400/80000]	[MSE: 0.0000520512]	31.2+6.6s
[48000/80000]	[MSE: 0.0000520054]	32.2+6.5s
[49600/80000]	[MSE: 0.0000519751]	31.5+6.5s
[51200/80000]	[MSE: 0.0000519160]	32.2+6.5s
[52800/80000]	[MSE: 0.0000518911]	32.2+6.6s
[54400/80000]	[MSE: 0.0000518736]	32.2+6.5s
[56000/80000]	[MSE: 0.0000518932]	32.1+6.5s
